"filename", "language", "JSON", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\Topias\VSCodeProjects\soilbird-backend\.eslintrc.js", "JavaScript", 0, 0, 0, 24, 0, 1, 25
"c:\Users\Topias\VSCodeProjects\soilbird-backend\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Topias\VSCodeProjects\soilbird-backend\README.md", "Markdown", 0, 0, 51, 0, 2, 21, 74
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\.eslintrc.js", "JavaScript", 0, 0, 0, 24, 0, 1, 25
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\README.md", "Markdown", 0, 0, 51, 0, 2, 21, 74
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\nest-cli.json", "JSON", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\package.json", "JSON", 65, 0, 0, 0, 6, 0, 71
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.module.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\src\main.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\test\app.e2e-spec.ts", "TypeScript", 0, 20, 0, 0, 0, 5, 25
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 1, 10
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\tsconfig.build.json", "JSON", 3, 0, 0, 0, 2, 0, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\in\tsconfig.json", "JSON", 15, 0, 0, 0, 0, 1, 16
"c:\Users\Topias\VSCodeProjects\soilbird-backend\nest-cli.json", "JSON", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\package-lock.json", "JSON", 11192, 0, 0, 0, 0, 1, 11193
"c:\Users\Topias\VSCodeProjects\soilbird-backend\package.json", "JSON", 83, 0, 0, 0, 6, 0, 89
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.module.ts", "TypeScript", 0, 47, 0, 0, 0, 3, 50
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.controller.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.module.ts", "TypeScript", 0, 8, 0, 0, 0, 2, 10
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\auth.service.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\auth\constants.ts", "TypeScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\main.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\dto\create-notification.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\dto\notifications.dto.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 15
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\dto\update-notification.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\entities\notification.entity.ts", "TypeScript", 0, 52, 0, 0, 0, 20, 72
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 5, 21
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.controller.ts", "TypeScript", 0, 81, 0, 0, 0, 13, 94
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.module.ts", "TypeScript", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\notifications\notifications.service.ts", "TypeScript", 0, 514, 0, 0, 28, 41, 583
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\dto\create-property.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\dto\update-property.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Topias\VSCodeProjects\soilbird-backend\src\property\entities\sports_property.entity.ts", "TypeScript", 0, 18, 0, 0, 0, 9, 27
